id,symbol,name,activated_at,timestamp,coingecko_url
peeking-duck,qwack,PEEKING DUCK,1737717340,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/peeking-duck
ben-pasternak,pasternak,Ben Pasternak,1737716066,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/ben-pasternak
tamatest,tamatest,Tamatest,1737715887,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/tamatest
prol-ai,prol,Prol AI,1737712613,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/prol-ai
cybertrader-ai,cyb,Cybertrader AI,1737709262,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/cybertrader-ai
cryptohog,hogscoin,CryptoHog,1737708804,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/cryptohog
trader,tde,Trader,1737708607,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/trader
zaichxbt,zai,ZaichXBT,1737708193,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/zaichxbt
neemo-staked-astar,nsastr,Neemo Staked Astar,1737707600,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/neemo-staked-astar
send-token-2,send,Send,1737707550,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/send-token-2
mula-ai,mula,Mula AI,1737707448,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/mula-ai
salute,slt,Salute,1737707324,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/salute
keira,keira,Keira,1737707140,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/keira
qai,qai,qAI,1737705915,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/qai
rough-love-potion,rlp,Rough Love Potion,1737704907,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/rough-love-potion
operating-system,opsys,Operating System,1737704125,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/operating-system
bridged-tether-bevm,usdt,Bridged Tether (BEVM),1737703531,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/bridged-tether-bevm
cute-asian-girl,cag,Cute Asian Girl,1737695371,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/cute-asian-girl
dexai,dexai,DEXAI,1737672071,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/dexai
sports-analyst-ai,sport,Sports Analyst AI,1737665469,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/sports-analyst-ai
xyro,xyro,XYRO,1737665071,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/xyro
golden-age-2,golden,Golden Age,1737664668,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/golden-age-2
fart-of-the-united-states,fotus,Fart Of The United States,1737659062,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/fart-of-the-united-states
goatindex-ai,aiai,GoatIndex.ai,1737658518,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/goatindex-ai
lumo-8b-instruct,lumo,Lumo-8B-Instruct,1737658294,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/lumo-8b-instruct
jarvis-ai-2,jarvis,Jarvis AI,1737658081,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/jarvis-ai-2
